A,Cstar_mono,Cstar_ushape,g_mono,g_ushape
0,14.4567548263463,11.0590416477371,1,1.375
0.0025062656641604,15.0583678567545,11.5368328293767,0.996532710535535,1.37125002355513
0.0050125313283208,15.6530815464518,12.0104727850066,0.993068765792552,1.36751889121299
0.0075187969924812,16.2410083618253,12.4799971370833,0.989608170957372,1.3638066029736
0.0100250626566416,16.8222583318257,12.9454411993353,0.98615093123747,1.36011315883694
0.012531328320802,17.3969391136061,13.4068399791126,0.98269705186161,1.35643855880302
0.0150375939849624,17.9651560560499,13.8642281797303,0.979246538079994,1.35278280287184
0.0175438596491228,18.5270122612675,14.3176402028065,0.975799395164398,1.3491458910434
0.0200501253132832,19.0826086441378,14.7671101505927,0.972355628408319,1.34552782331769
0.0225563909774436,19.6320439899649,15.2126718282991,0.968915243127121,1.34192859969473
0.025062656641604,20.1754150103207,15.6543587464109,0.965478244658179,1.3383482201745
0.0275689223057644,20.7128163971393,16.0922041229984,0.962044638361029,1.33478668475701
0.0300751879699248,21.2443408751262,16.5262408860189,0.958614429617516,1.33124399344225
0.0325814536340852,21.7700792525438,16.9565016756099,0.955187623831946,1.32772014623024
0.0350877192982456,22.2901204704318,17.3830188463749,0.951764226431236,1.32421514312096
0.037593984962406,22.8045516503171,17.8058244696593,0.948344242865072,1.32072898411442
0.0401002506265664,23.3134581404689,18.2249503358184,0.944927678606058,1.31726166921062
0.0426065162907268,23.8169235607491,18.6404279564749,0.941514539149878,1.31381319840956
0.0451127819548872,24.3150298461083,19.052288566768,0.938104830015449,1.31038357171123
0.0476190476190476,24.8078572887739,19.4605631275922,0.934698556745085,1.30697278911565
0.050125313283208,25.2954845791776,19.8652823278257,0.931295724904655,1.3035808506228
0.0526315789473684,25.7779888456642,20.2664765865496,0.927896340083747,1.30020775623269
0.0551378446115288,26.2554456930247,20.6641760552552,0.92450040789583,1.29685350594531
0.0576441102756892,26.7279292398949,21.0584106200423,0.921107933978423,1.29351809976068
0.0601503759398496,27.1955121550563,21.4492099038051,0.917718923993259,1.29020153767878
0.06265664160401,27.6582656926785,21.8366032684082,0.914333383626456,1.28690381969962
0.0651629072681704,28.1162597265384,22.2206198168509,0.910951318588686,1.2836249458232
0.0676691729323308,28.56956278325,22.6012883954202,0.907572734615348,1.28036491604952
0.0701754385964912,29.018242074539,22.9786375958322,0.904197637466742,1.27712373037858
0.0726817042606516,29.4623635285935,23.3526957573622,0.900826032928242,1.27390138881037
0.075187969924812,29.9019918205218,23.7234909689623,0.897457926810478,1.2706978913449
0.0776942355889724,30.3371904019461,24.091051071368,0.894093324949511,1.26751323798217
0.0802005012531328,30.7680215297623,24.4554036591919,0.890732233207013,1.26434742872218
0.0827067669172932,31.1945462940907,24.8165760830054,0.887374657470455,1.26120046356493
0.0852130325814536,31.6168246454461,25.1745954514088,0.884020603653283,1.25807234251041
0.087719298245614,32.0349154211521,25.5294886330881,0.880670077695113,1.25496306555863
