s,l_low,l_high,width
23.4210526315789,0.31362842563532,0.313729459650265,0.000101034014944601
23.6842105263158,0.31353685369074,0.313828040411556,0.000291186720815295
23.9473684210526,0.313421533734523,0.313954848363214,0.000533314628690884
24.2105263157895,0.313288902404532,0.314103190503124,0.000814288098591798
24.4736842105263,0.313142742029833,0.314269042729256,0.00112630069942254
24.7368421052632,0.312985634748079,0.314449594804931,0.00146396005685173
25,0.312819488008246,0.314642724003098,0.00182323599485223
25.2631578947368,0.312645781467252,0.314846747416087,0.00220096594883429
25.5263157894737,0.312465701666649,0.315060286540055,0.00259458487340597
25.7894736842105,0.312280223113934,0.315282185505409,0.00300196239147432
26.0526315789474,0.31209016067043,0.315511458047378,0.0034212973769483
26.3157894736842,0.311896205250901,0.315747251208087,0.00385104595718583
26.5789473684211,0.311698949184187,0.315988819417599,0.00428987023341193
26.8421052631579,0.311498904840536,0.316235505345283,0.004736600504747
27.1052631578947,0.311296518692602,0.316486725351831,0.00519020665922826
27.3684210526316,0.311092182174019,0.316741958175499,0.00564977600147948
27.6315789473684,0.310886240227758,0.317000735958078,0.0061144957303208
27.8947368421053,0.310678998147258,0.317262637005472,0.00658363885821461
28.1578947368421,0.310470727129442,0.317527279861829,0.00705655273238665
28.4210526315789,0.310261668838075,0.31779431839697,0.00753264955889577
28.6842105263158,0.310052039194593,0.318063437688331,0.00801139849373866
28.9473684210526,0.309842031557361,0.318334350534914,0.00849231897755215
29.2105263157895,0.309631819410692,0.31860679448053,0.00897497506983824
29.4736842105263,0.309421558656446,0.318880529252176,0.00945897059572998
29.7368421052632,0.30921138958025,0.319155334540333,0.00994394496008311
30,0.30900143854882,0.319431008063542,0.0104295695147211
30.2631578947368,0.308791819483306,0.319707363871357,0.0109155443880509
30.5263157894737,0.3085826351446,0.319984230848729,0.0114015957041293
30.7894736842105,0.308373978259758,0.320261451391807,0.0118874731320489
31.0526315789474,0.30816593251329,0.320538880230575,0.0123729477172854
31.3157894736842,0.307958573422867,0.320816383378007,0.0128578099551403
31.5789473684211,0.307751969115657,0.321093837188831,0.0133418680731739
31.8421052631579,0.307546181018781,0.32137112751373,0.0138249464949495
32.1052631578947,0.307341264475237,0.321648148937039,0.0143068844618017
32.3684210526316,0.307137269294872,0.321924804087793,0.0147875347929209
32.6315789473684,0.306934240248493,0.322201003015477,0.0152667627669841
32.8947368421053,0.306732217512073,0.322476662623065,0.0157444451109914
33.1578947368421,0.306531237066964,0.322751706150945,0.0162204690839807
33.4210526315789,0.306331331061229,0.323026062706217,0.0166947316449882
33.6842105263158,0.306132528136507,0.323299666832535,0.0171671386960279
33.9473684210526,0.30593485372423,0.323572458116303,0.0176376043920729
34.2105263157895,0.305738330314526,0.323844380825554,0.0181060505110283
34.4736842105263,0.305542977700715,0.324115383578271,0.0185724058775555
34.7368421052632,0.305348813201952,0.324385419037301,0.0190366058353493
35,0.305155851866243,0.324654443629348,0.0194985917631053
35.2631578947368,0.304964106655827,0.324922417285791,0.0199583106299644
35.5263157894737,0.304773588616653,0.325189303203353,0.0204157145867007
35.7894736842105,0.304584307033504,0.325455067622831,0.0208707605893272
36.0526315789474,0.304396269572143,0.325719679624303,0.0213234100521601
36.3157894736842,0.304209482409699,0.325983110937392,0.0217736285276925
36.5789473684211,0.304023950354386,0.326245335765296,0.0222213854109097
36.8421052631579,0.303839676955527,0.326506330621443,0.0226666536659156
37.1052631578947,0.303656664604762,0.326766074177722,0.0231094095729603
37.3684210526316,0.303474914629217,0.327024547123359,0.0235496324941424
37.6315789473684,0.303294427377343,0.327281732033575,0.0239873046562324
37.8947368421053,0.303115202298059,0.327537613247267,0.0244224109492082
38.1578947368421,0.30293723801377,0.327792176753001,0.0248549387392304
38.4210526315789,0.302760532387781,0.32804541008268,0.0252848776948991
38.6842105263158,0.302585082586568,0.328297302212313,0.0257122196257448
38.9473684210526,0.302410885137341,0.328547843469336,0.0261369583319947
39.2105263157895,0.302237935981274,0.32879702544602,0.0265590894647456
39.4736842105263,0.302066230522756,0.329044840918505,0.0269786103957488
39.7368421052632,0.301895763674985,0.329291283771065,0.0273955200960799
40,0.301726529902187,0.329536348925218,0.0278098190230315
40.2631578947368,0.30155852325873,0.329780032273349,0.0282215090146195
40.5263157894737,0.301391737425375,0.330022330616521,0.0286305931911458
40.7894736842105,0.301226165742883,0.33026324160619,0.0290370758633076
41.0526315789474,0.301061801243175,0.330502763689555,0.0294409624463797
41.3157894736842,0.300898636678243,0.330740896058285,0.0298422593800424
41.5789473684211,0.300736664546965,0.330977638600418,0.0302409740534527
41.8421052631579,0.300575877119996,0.33121299185519,0.0306371147351944
42.1052631578947,0.300416266462864,0.331446956970634,0.0310306905077696
42.3684210526316,0.300257824457412,0.331679535663729,0.0314217112063168
42.6315789473684,0.300100542821702,0.331910730182972,0.0318101873612701
42.8947368421053,0.299944413128493,0.332140543273184,0.0321961301446912
43.1578947368421,0.299789426822399,0.332368978142426,0.0325795513200275
43.4210526315789,0.299635575235815,0.332596038430884,0.0329604631950688
43.6842105263158,0.299482849603706,0.332821728181596,0.0333388785778899
43.9473684210526,0.299331241077335,0.333046051812917,0.0337148107355821
44.2105263157895,0.299180740737,0.333269014092594,0.0340882733555945
44.4736842105263,0.299031339603862,0.333490620113373,0.034459280509511
44.7368421052632,0.298883028650919,0.333710875270029,0.0348278466191101
45,0.298735798813177,0.333929785237735,0.0351939864245584
45.2631578947368,0.298589640997094,0.334147355951698,0.0355577149546039
45.5263157894737,0.298444546089329,0.334363593587968,0.0359190474986396
45.7894736842105,0.298300504964848,0.334578504545371,0.0362779995805228
46.0526315789474,0.298157508494436,0.334792095428474,0.0366345869340375
46.3157894736842,0.298015547551652,0.335004373031551,0.0369888254798983
46.5789473684211,0.297874613019259,0.33521534432346,0.0373407313042002
46.8421052631579,0.297734695795176,0.335425016433401,0.0376903206382249
47.1052631578947,0.297595786797971,0.335633396637491,0.0380376098395202
47.3684210526316,0.297457876971941,0.335840492346115,0.0383826153741739
47.6315789473684,0.297320957291788,0.336046311091998,0.0387253538002107
47.8947368421053,0.297185018766935,0.336250860518978,0.0390658417520429
48.1578947368421,0.297050052445499,0.33645414837141,0.0394040959259106
48.4210526315789,0.296916049417937,0.336656182484191,0.0397401330662545
48.6842105263158,0.296783000820398,0.336856970773359,0.040073969952961
48.9473684210526,0.296650897837799,0.337056521227231,0.0404056233894315
49.2105263157895,0.296519731706633,0.337254841898057,0.0407351101914243
49.4736842105263,0.296389493717536,0.33745194089416,0.0410624471766241
49.7368421052632,0.296260175217633,0.337647826372528,0.0413876511548951
50,0.296131767612657,0.337842506531836,0.0417107389191791
50.2631578947368,0.296004262368887,0.338035989605885,0.0420317272369979
50.5263157894737,0.29587765101489,0.338228283857416,0.042350632842526
50.7894736842105,0.29575192514309,0.338419397572291,0.0426674724292013
