A_gap,capacity_effect_cmH2O,load_effect_cmH2O,ratio
0,0,2.9602284127404,0
0.0076271186440678,0.600440728107813,2.9602284127404,0.20283594520058
0.0152542372881356,1.18701120708655,2.9602284127404,0.400986356991177
0.0228813559322034,1.76011283142422,2.9602284127404,0.594586831154292
0.0305084745762712,2.32013120801973,2.9602284127404,0.783767630239009
0.038135593220339,2.86743691288974,2.9602284127404,0.968653939185467
0.0457627118644068,3.40238620432063,2.9602284127404,1.14936610623601
0.0533898305084746,3.92532169534026,2.9602284127404,1.32601987010402
0.0610169491525424,4.43657298816765,2.9602284127404,1.49872657429855
0.0686440677966102,4.93645727310088,2.9602284127404,1.66759336943564
0.076271186440678,5.42527989412122,2.9602284127404,1.8327234043061
0.0838983050847458,5.90333488332514,2.9602284127404,1.99421600641289
0.0915254237288136,6.37090546614189,2.9602284127404,2.15216685263962
0.0991525423728814,6.8282645391533,2.9602284127404,2.30666813066364
0.106779661016949,7.27567512220267,2.9602284127404,2.45780869168379
0.114406779661017,7.7133907863598,2.9602284127404,2.605674194992
0.122033898305085,8.1416560591983,2.9602284127404,2.75034724488076
0.129661016949153,8.5607068087402,2.9602284127404,2.89190752034408
0.13728813559322,8.97077060732784,2.9602284127404,3.03043189799777
0.144915254237288,9.3720670765965,2.9602284127404,3.1659945686152
0.152542372881356,9.76480821464001,2.9602284127404,3.29866714764768
0.160169491525424,10.1491987063876,2.9602284127404,3.42851878007347
0.167796610169492,10.5254362181399,2.9602284127404,3.5556162398955
0.175423728813559,10.893711677149,2.9602284127404,3.68002402458675
0.183050847457627,11.2542095370661,2.9602284127404,3.80180444476161
0.190677966101695,11.6071080300255,2.9602284127404,3.92101770933289
0.198305084745763,11.9525794060824,2.9602284127404,4.03772200639661
0.205932203389831,12.2907901606713,2.9602284127404,4.15197358007019
0.213559322033898,12.6219012507092,2.9602284127404,4.26382680349474
0.221186440677966,12.9460682999239,2.9602284127404,4.37333424819716
0.228813559322034,13.263441793947,2.9602284127404,4.48054674999503
0.236440677966102,13.5741672656761,2.9602284127404,4.58551347161415
0.24406779661017,13.878385471374,2.9602284127404,4.68828196217676
0.251694915254237,14.1762325579383,2.9602284127404,4.78889821370736
0.259322033898305,14.4678402217456,2.9602284127404,4.88740671479202
0.266949152542373,14.7533358594419,2.9602284127404,4.98385050151727
0.274576271186441,15.0328427110242,2.9602284127404,5.07827120580457
0.282203389830509,15.3064799955271,2.9602284127404,5.17070910124712
0.289830508474576,15.5743630396073,2.9602284127404,5.26120314654688
0.297457627118644,15.8366033992848,2.9602284127404,5.34979102664047
0.305084745762712,16.0933089750821,2.9602284127404,5.4365091915944
0.31271186440678,16.3445841207719,2.9602284127404,5.52139289334131
0.320338983050848,16.5905297459208,2.9602284127404,5.60447622032055
0.327966101694915,16.831243412392,2.9602284127404,5.68579213007776
0.335593220338983,17.0668194249421,2.9602284127404,5.76537247986978
0.343220338983051,17.2973489160246,2.9602284127404,5.84324805531195
0.350847457627119,17.5229199248795,2.9602284127404,5.91944859709587
0.358474576271186,17.7436174709681,2.9602284127404,5.99400282579616
0.366101694915254,17.9595236217721,2.9602284127404,6.06693846477417
0.373728813559322,18.1707175549534,2.9602284127404,6.13828226117593
0.38135593220339,18.3772756148258,2.9602284127404,6.20806000500928
0.388983050847458,18.57927136306,2.9602284127404,6.2762965462724
0.396610169491525,18.7767756234926,2.9602284127404,6.34301581009089
0.404237288135593,18.9698565208658,2.9602284127404,6.40824080980446
0.411864406779661,19.1585795132672,2.9602284127404,6.47199365792563
0.419491525423729,19.3430074179779,2.9602284127404,6.53429557487131
0.427118644067797,19.5232004303623,2.9602284127404,6.59516689534401
0.434745762711864,19.699216135349,2.9602284127404,6.65462707221048
0.442372881355932,19.8711095109556,2.9602284127404,6.71269467769215
0.45,20.0389329231882,2.9602284127404,6.7693874016422
