scenario,support_level,A,C0,C_end,Cstar,tau_days
deep_sedation_controlled,0.9,0.1,80,40.1157724208591,34.0249148055865,10.3892982060344
trach_spontaneous,0.4,0.6,80,72.6682327870257,72.5387590513112,5.1800696598621
ett_partial_support,0.7,0.3,80,58.0287221163167,56.6159773760143,7.48258001870389
unsupported,0,1,80,79.9999912196213,79.9999911961837,3.54198817590331
