device,type,ID_mm,grade,WOB_J_L,WOB_J_min,PTP_per_min,peak_dP,mean_dP,peak_flow
ETT_8_0,ETT,8,B,0.181485288350067,1.47003083563555,27.9679206984913,2.73420909013125,1.39839603492457,0.636172300401044
ETT_7_5,ETT,7.5,B,0.228834396317449,1.85355861017133,35.1715247901122,3.46499762412254,1.75857623950561,0.636172300401044
ETT_7_0,ETT,7,B,0.296319132820041,2.40018497584233,45.3692321309191,4.5195315357712,2.26846160654596,0.636172300401044
TRACH_8_0,TRACH,8,B,0.122548897350464,0.99264606853876,18.7383510232657,1.87383135654268,0.936917551163286,0.636172300401044
TRACH_7_0,TRACH,7,X,0.190572799335495,1.54363967461751,29.1395523471951,2.9139494097424,1.45697761735975,0.636172300401044
