t_days,Cmax_trach,l_trach,Cmax_ETT,l_ETT
0,80,0.198939442146202,80,0.220026562216998
0.05,79.9283277286791,0.199117832487638,79.7792698280756,0.220635323127079
0.1,79.85734393671,0.199294824835516,79.5595993997886,0.221244514931616
0.15,79.7870420111941,0.199470427409294,79.3409836273353,0.221854131025613
0.2,79.7174154028125,0.199644648428161,79.1234174473475,0.22246416478501
0.25,79.6484576242078,0.199817496112555,78.9068958205874,0.223074609567487
0.3,79.5801622499839,0.199988978681674,78.6914137319474,0.223685458712425
0.35,79.5125228994946,0.200159104394326,78.4769661808987,0.224296705568165
0.4,79.4455332668,0.200327881471305,78.2635481961555,0.224908343450553
0.45,79.3791871264869,0.200495318077976,78.0511548413553,0.225520365626076
0.5,79.3134783084119,0.200661422385358,77.8397812025127,0.226132765347389
0.55,79.2484006977012,0.200826202567869,77.6294223880194,0.22674553585338
0.6,79.1839482347506,0.200989666801076,77.4200735286445,0.22735867036922
0.65,79.1201149152256,0.201151823259467,77.2117297775337,0.227972162106405
0.7,79.0568947900615,0.201312680114232,77.0043863102102,0.228586004262798
0.75,78.9942819654631,0.201472245531067,76.7980383245742,0.229200190022659
0.8,78.932270602905,0.201630527667988,76.5926810409029,0.229814712556671
0.85,78.8708549191314,0.201787534673162,76.3883097018508,0.230429565021955
0.9,78.8100291861563,0.201943274682758,76.1849195724494,0.231044740562085
0.95,78.7497877312631,0.202097755818813,75.9825059401072,0.231660232307087
1,78.6901249368565,0.202250986187492,75.78106411461,0.232276033373439
1.05,78.6310352346131,0.202402973892049,75.5805894281207,0.232892136864056
1.1,78.572513127372,0.202553726974425,75.3810772351792,0.233508535868273
1.15,78.5145531761403,0.202703253446427,75.1825229127024,0.23412522346182
1.2,78.4571499902594,0.202851561313049,74.9849218599847,0.234742192706787
1.25,78.4002982274041,0.202998658570576,74.7882694986971,0.23535943665158
1.3,78.3439925935833,0.203144553204704,74.5925612709831,0.235976948336901
1.35,78.2882278431395,0.203289253188669,74.3977926402632,0.236594720793286
1.4,78.232998778749,0.203432766481391,74.2039591012077,0.237212747009255
1.45,78.1783002514219,0.203575101025642,74.0110561695993,0.23783101996307
1.5,78.1241271605023,0.203716264746219,73.8190793816131,0.238449532625087
1.55,78.0704744536679,0.20385626554814,73.6280242938171,0.239068277957827
1.6,78.0173371269301,0.203995111314848,73.4378864831714,0.239687248916041
1.65,77.9647102246344,0.204132809906442,73.248661547029,0.240306438446776
1.7,77.9125888389984,0.204269369159121,73.0603451031353,0.240925839489424
1.75,77.8609681044323,0.20440479689836,72.8729327896283,0.241545444975766
1.8,77.8098432204115,0.204539100877165,72.6864202650383,0.242165247830018
1.85,77.7592094358203,0.204672288815281,72.5008032082885,0.242785240968855
1.9,77.7090620416957,0.204804368416604,72.3160773186944,0.243405417301438
1.95,77.6593963712262,0.20493534736761,72.1322383159642,0.244025769729431
2,77.6102077997528,0.205065233335799,71.9492819401984,0.244646291147007
2.05,77.5614917447684,0.205194033968147,71.7672039518904,0.245266974440854
2.1,77.513243665918,0.205321756889577,71.5860001319258,0.245887812490165
2.15,77.4654590649988,0.205448409701442,71.405666281583,0.246508798166622
2.2,77.4181334859599,0.205573999980023,71.2261982225327,0.247129924334377
2.25,77.3712625149026,0.205698535275041,71.0475917961925,0.247751183852275
2.3,77.3248417800803,0.205822023108181,70.8698428604203,0.248372569585453
2.35,77.2788669518986,0.205944470971635,70.6929473022655,0.248994074360736
2.4,77.2333337429149,0.206065886326656,70.5169010297745,0.249615690994811
2.45,77.1882379023136,0.206186276616882,70.3416999695682,0.250237412302732
2.5,77.1435752317979,0.206305649224513,70.1673400668417,0.250859231098001
2.55,77.0993415823157,0.206424011477507,69.9938172853643,0.251481140192657
2.6,77.0555328414512,0.206541370681883,69.8211276074796,0.252103132397338
2.65,77.0121449334243,0.206657734120437,69.6492670341054,0.252725200521358
2.7,76.9691738190907,0.206773109051467,69.4782315847339,0.253347337372754
2.75,76.9266154959414,0.20688750270751,69.3080172974313,0.253969535758344
2.8,76.8844659981032,0.207000922294093,69.1386202288381,0.254591788483767
2.85,76.8427213963385,0.207113374988493,68.9700364541694,0.25521408835352
2.9,76.8013777980453,0.207224867938518,68.802262067214,0.255836428170982
2.95,76.7604313472572,0.207335408261288,68.6352931803353,0.256458800738438
3,76.7198782246435,0.207445003042041,68.4691259244709,0.257081198857088
3.05,76.679714647509,0.20755365933294,68.3037564491325,0.257703615327052
3.1,76.6399368697942,0.207661384151906,68.1391809224064,0.258326042947366
3.15,76.6005411809978,0.20776818448437,67.9753955309527,0.25894847451597
3.2,76.5615239032981,0.207874067289961,67.8123964800061,0.259570902829687
3.25,76.5228814109381,0.207979039448732,67.6501799901459,0.260193320696617
3.3,76.484610113612,0.208083107805027,67.4887423034744,0.260815720912519
3.35,76.446706452741,0.208186279176525,67.3280796861494,0.261438096250664
3.4,76.4091669014725,0.208288560353214,67.1681884212592,0.26206043948907
3.45,76.3719879646805,0.208389958096369,67.0090648087968,0.262682743410696
3.5,76.3351661789656,0.208490479137539,66.8507051656596,0.26330500080352
3.55,76.2986981126548,0.208590130177549,66.6931058256495,0.263927204460619
3.6,76.2625803658017,0.208688917885513,66.536263139473,0.264549347180235
3.65,76.2268095701864,0.208786848897856,66.3801734747412,0.265171421765835
3.7,76.1913823893155,0.208883929817343,66.2248332159696,0.265793421026167
3.75,76.1562955184222,0.208980167212129,66.0702387645784,0.2664153377753
3.8,76.1215456844659,0.209075567614807,65.9163865388923,0.267037164832666
3.85,76.087129646133,0.209170137521478,65.7632729741403,0.267658895023085
3.9,76.0530441926999,0.209263883393951,65.6108945224562,0.268280521176789
3.95,76.0192861417336,0.209356811665178,65.4592476528784,0.268902036129434
4,75.9858523569188,0.20944892868925,65.3083288513496,0.269523432722106
4.05,75.9527397324459,0.209540240783407,65.158134620717,0.270144703801316
4.1,75.919945189876,0.209630754235825,65.0086614807328,0.270765842218991
4.15,75.8874656781402,0.209720475304799,64.8599059680531,0.271386840832453
4.2,75.8552981735403,0.209809410217936,64.7118646358175,0.272007692506163
4.25,75.8234396797482,0.209897565171354,64.5645340503526,0.272628390125643
4.3,75.7918872278061,0.20998494632889,64.4179108023256,0.273248926550478
4.35,75.7606378761269,0.21007155982132,64.2719915002851,0.273869294641069
4.4,75.7296887104935,0.210157411745585,64.1267727681517,0.274489487269222
4.45,75.6990368440593,0.210242508164028,63.9822512452178,0.275109497318219
4.5,75.668679417348,0.210326855103638,63.8384235861476,0.275729317682891
4.55,75.6386135982538,0.210410458555306,63.695286460977,0.276348941269678
4.6,75.608836582041,0.210493324473087,63.552836555114,0.276968360996681
4.65,75.5793455913288,0.210575458773516,63.4110705693381,0.277587569793708
4.7,75.5501378711786,0.210656867348585,63.269985219801,0.278206560602311
4.75,75.5212107035818,0.210737556024659,63.1295772380259,0.278825326375816
4.8,75.4925614028385,0.210817530574579,62.989843370908,0.279443860079345
4.85,75.4641873067654,0.210896796741484,62.8507803807142,0.280062154689826
4.9,75.4360857766958,0.210975360238173,62.7123850450834,0.280680203196001
4.95,75.4082541974799,0.21105322674647,62.5746541570261,0.281297998598422
5,75.3806899774842,0.211130401916591,62.4375845249249,0.281915533909438
5.05,75.3533905485919,0.21120689136653,62.301172972534,0.282532802153178
5.1,75.326353366203,0.211282700681444,62.1654163389796,0.283149796365521
5.15,75.299575909234,0.211357835413048,62.0303114787595,0.283766509594059
5.2,75.2730556801179,0.211432301079015,61.8958552607136,0.284382934902787
5.25,75.2467902048046,0.211506103162391,61.7620445668059,0.28499906537777
5.3,75.2207770327604,0.211579247111004,61.6288763016862,0.285614894082991
5.35,75.1950137369684,0.211651738336896,61.4963473850385,0.286230414095168
5.4,75.1694979139281,0.211723582215749,61.3644547505121,0.286845618508702
5.45,75.1442271832752,0.211794784087398,61.2331953457217,0.287460500435729
5.5,75.1191991836568,0.211865349266912,61.1025661322474,0.288075053006165
5.55,75.0944115890233,0.211935282998109,60.9725640856346,0.288689269367745
5.6,75.0698620981573,0.212004590482481,60.8431861953944,0.289303142686047
5.65,75.04554842996,0.212073276891964,60.7144294650028,0.289916666144514
5.7,75.0214683234511,0.212141347368447,60.5862909119016,0.290529832944471
5.75,74.9976195377688,0.212208807023285,60.4587675674977,0.291142636305122
5.8,74.9739998521699,0.212275660936817,60.3318564771635,0.291755069463552
5.85,74.9506070660296,0.212341914157884,60.2055547002369,0.292367125674712
5.9,74.9274389988417,0.212407571703367,60.0798593100209,0.292978798211399
5.95,74.9044934902184,0.212472638557719,59.9547673937842,0.293590080364231
6,74.8817683998905,0.212537119672503,59.8302760527606,0.294200965441604
6.05,74.8592616077073,0.212601019965946,59.7063824021496,0.294811446769653
6.1,74.8369710136367,0.212664344322489,59.5830835711157,0.295421517692195
6.15,74.8148945377648,0.212727097592346,59.4603767027891,0.296031171570668
6.2,74.7930301202966,0.212789284591069,59.3382589532351,0.29664040178921
6.25,74.7713757215551,0.212850910099119,59.2167274905082,0.29724920175944
6.3,74.7499293178648,0.21291197887317,59.0957795034466,0.297857564876241
6.35,74.7286889129374,0.212972495613272,58.9754121944811,0.298465484553359
6.4,74.7076525358645,0.213032464968108,58.855622778718,0.299072954227998
6.45,74.6868182328701,0.213091891558072,58.736408483939,0.299679967360841
6.5,74.6661840673109,0.213150779974892,58.6177665506009,0.30028651743606
6.55,74.6457481196763,0.213209134781262,58.4996942318359,0.300892597961319
6.6,74.625508487588,0.21326696051047,58.3821887934517,0.301498202467774
6.65,74.6054632858006,0.213324261666039,58.2652475139311,0.302103324510056
6.7,74.5856106462011,0.213381042721365,58.1488676844325,0.302707957666255
6.75,74.5659487178093,0.213437308119369,58.0330466087893,0.303312095537889
6.8,74.5464756667774,0.213493062272144,57.9177816035106,0.303915731749867
6.85,74.5271896763902,0.213548309560611,57.8030699977805,0.304518859950445
6.9,74.5080889470654,0.213603054334183,57.6889091334586,0.305121473811175
6.95,74.489171696353,0.213657300910427,57.5752963650799,0.305723567026843
7,74.4704361589356,0.213711053574735,57.4622290598546,0.306325133315398
7.05,74.4518805866286,0.213764316579996,57.3497045976683,0.306926166417875
7.1,74.4335032479694,0.213817094147458,57.2377203710818,0.307526660098312
7.15,74.4153024248069,0.213869390476208,57.1262737853315,0.308126608143653
7.2,74.3972764263988,0.213921209702361,57.0153622578851,0.308726004366052
7.25,74.3794235801673,0.213972555925263,56.9049832159426,0.309324842616392
7.3,74.3617422280535,0.21402343321768,56.7951341056128,0.309923116734402
7.35,74.3442307265171,0.214073845625516,56.6858123862751,0.310520820578761
7.4,74.3268874465365,0.214123797167532,56.5770155288016,0.311117948036676
7.45,74.3097107736089,0.214173291835075,56.4687410155566,0.31171449302386
7.5,74.29269910775,0.214222333591807,56.3609863403975,0.31231044948451
7.55,74.2758508634944,0.214270926373436,56.2537490086739,0.312905811391268
7.6,74.2591644698953,0.214319074087457,56.1470265372282,0.31350057274518
7.65,74.2426383705245,0.214366780612887,56.0408164543952,0.314094727575643
7.7,74.2262710234726,0.214414049800014,55.9351163000023,0.314688269940348
7.75,74.2100609013489,0.214460885470138,55.8299236253696,0.315281193925211
7.8,74.1940064912813,0.21450729141533,55.7252359933097,0.315873493644301
7.85,74.1781062949166,0.214553271398178,55.6210509781278,0.316465163239754
7.9,74.1623588284201,0.214598829151551,55.5173661656216,0.317056196881684
7.95,74.1467626224623,0.214643968378395,55.4141791530815,0.317646588768085
8,74.1313162184702,0.214688692762355,55.3114875492905,0.318236333124721
8.05,74.1160181792699,0.214733005936733,55.2092889745239,0.318825424205016
8.1,74.100867086212,0.214776911492545,55.1075810605499,0.319413856289925
8.15,74.0858615328867,0.214820412996499,55.0063614506291,0.32000162368781
8.2,74.0710001251238,0.214863513990787,54.9056277995147,0.320588720734297
8.25,74.0562814809927,0.214906217992878,54.8053777709665,0.321175141806699
8.3,74.0417042308023,0.214948528495313,54.7056090426462,0.321760881295335
8.35,74.0272670171011,0.214990448965509,54.6063193074369,0.32234593359532
8.4,74.0129684946775,0.215031982845556,54.5075062686367,0.322930293134471
8.45,73.998807330559,0.215073133552029,54.4091676399523,0.323513954373284
8.5,73.9847822040133,0.215113904475789,54.3113011454993,0.324096911804856
8.55,73.9708918065472,0.215154298981799,54.2139045198018,0.324679159954816
8.6,73.9571348419074,0.215194320408934,54.1169755077929,0.325260693381232
8.65,73.9435100260799,0.215233972069799,54.0205118648142,0.325841506674521
8.7,73.9300160872908,0.215273257250543,53.9245113566161,0.326421594457346
