target_VA,VCO2,C_rs,R_aw,L_ETT,L_TRACH,dL_device,window_Cmax_low,window_Cmax_high,window_width,overlaps_observed_MIP
4.32,206,0.02,10,12.4274081932604,11.4832001471295,0.944208046130855,32.3470426679705,35.006783642987,2.65974097501649,0
4.32,206,0.0203669724770642,10,12.276056841909,11.3374794264088,0.938577415500227,31.9365617645318,34.5804418081944,2.64388004366261,0
4.32,206,0.0207339449541284,10,12.130063060517,11.1969169612888,0.933146099228201,31.54061115856,34.1691917197662,2.6285805612062,0
4.32,206,0.0211009174311927,10,11.9891473236952,11.0612436253904,0.927903698304771,31.1584327475786,33.7722459822399,2.61381323466133,0
4.32,206,0.0214678899082569,10,11.8530492189014,10.9302086941381,0.922840524763336,30.7893202651777,33.3888710391589,2.59955077398123,0
4.32,206,0.0218348623853211,10,11.7215258403192,10.80357829839,0.917947541929175,30.4326149250423,33.0183826487865,2.58576772374416,0
4.32,206,0.0222018348623853,10,11.5943503420207,10.681134031427,0.913216310593663,30.0877014969776,32.660141808509,2.57244031153145,0
4.32,206,0.0225688073394495,10,11.4713106322848,10.562671691845,0.908638940439799,29.7540047657605,32.3135510768585,2.55954631109802,0
4.32,206,0.0229357798165138,10,11.3522081932604,10.4480001471295,0.904208046130854,29.4309863299423,31.9780512486208,2.54706491867846,0
4.32,206,0.023302752293578,10,11.236857012158,10.3369403046098,0.899916707548179,29.1181417031263,31.6531183441071,2.53497664098079,0
4.32,206,0.0236697247706422,10,11.125082611865,10.2293241781373,0.895758433727755,28.8149976848937,31.338260878493,2.52326319359931,0
4.32,206,0.0240366972477064,10,11.0167211703596,10.1249940402593,0.891727130100319,28.5211099725614,31.0330173812947,2.51190740873329,0
4.32,206,0.0244036697247706,10,10.9116187195762,10.0238016508889,0.887817068687248,28.2360609884195,30.7369541396512,2.50089315123168,0
4.32,206,0.0247706422018349,10,10.8096304154826,9.92560755453693,0.884022860945672,27.959457900104,30.4496631422045,2.49020524210048,0
4.32,206,0.0251376146788991,10,10.7106198720925,9.83028043910032,0.880339432992171,27.6909308143671,30.1707602030775,2.47982938871034,0
4.32,206,0.0255045871559633,10,10.6144585529726,9.73769655000722,0.876762002965389,27.4301311267809,29.8998832478102,2.46975212102927,0
4.32,206,0.0258715596330275,10,10.521025214537,9.64773915422172,0.873286060315252,27.1767300118922,29.6366907451746,2.4599607332824,0
4.32,206,0.0262385321100917,10,10.4302053960576,9.56029804922742,0.869907346830157,26.9304170400773,29.3808602705847,2.45044323050748,0
4.32,206,0.026605504587156,10,10.3418909518811,9.47526911264676,0.866621839234304,26.6908989088641,29.1320871883974,2.44118827953325,0
4.32,206,0.0269724770642202,10,10.2559796218318,9.39255388862612,0.863425733205684,26.4578982778201,28.8900834417797,2.43218516395967,0
4.32,206,0.0273394495412844,10,10.1723746362134,9.31205920753221,0.860315428681192,26.2311526972738,28.6545764400377,2.42342374276392,0
4.32,206,0.0277064220183486,10,10.0909843522008,9.23369683587124,0.85728751632953,26.0104136221725,28.4253080343684,2.41489441219586,0
4.32,206,0.0280733944954128,10,10.0117219187506,9.15738315366547,0.854338765085101,25.795445503283,28.2020335739453,2.40658807066226,0
4.32,206,0.0284403669724771,10,9.93450496745393,9.08303885680694,0.851466110646982,25.586024948752,27.9845210350815,2.39849608632953,0
4.32,206,0.0288073394495413,10,9.85925532701834,9.01058868216137,0.848666644856971,25.3819399497503,27.7725502169531,2.39061026720274,0
4.32,206,0.0291743119266055,10,9.78589875929811,8.93996115341883,0.845937605879282,25.1829891645601,27.5659119980229,2.38292283346277,0
4.32,206,0.0295412844036697,10,9.71436471499951,8.87108834588729,0.843276369112223,24.9889812560205,27.3644076478859,2.37542639186542,0
4.32,206,0.0299082568807339,10,9.64458610737081,8.80390566860191,0.840680438768894,24.7997342777519,27.1678481897769,2.36811391202505,0
4.32,206,0.0302752293577982,10,9.57649910235129,8.73835166228104,0.83814744007025,24.615075105017,26.9760538094402,2.36097870442324,0
4.32,206,0.0306422018348624,10,9.5100429237993,8.67436781180018,0.835675111999119,24.4348389064794,26.7888533064769,2.35401439999752,0
4.32,206,0.0310091743119266,10,9.44515967255032,8.61189837198159,0.833261300568724,24.2588686534693,26.6060835846488,2.3472149311795,0
4.32,206,0.0313761467889908,10,9.38179415817266,8.55089020560905,0.830903952563604,24.0870146636875,26.4275891779512,2.34057451426367,0
4.32,206,0.031743119266055,10,9.31989374239332,8.49129263267866,0.828601109714668,23.9191341765596,26.2532218095587,2.33408763299907,0
4.32,206,0.0321100917431193,10,9.25940819326038,8.43305728998667,0.826350903273712,23.7550909577089,26.0828399810151,2.32774902330623,0
4.32,206,0.0324770642201835,10,9.20028954919258,8.37613800023687,0.824151548955712,23.5947549302447,25.9163085892749,2.32155365903017,0
4.32,206,0.0328440366972477,10,9.14249199214306,8.32049064992282,0.822001342220242,23.4380018307685,25.7534985694171,2.31549673864857,0
4.32,206,0.0332110091743119,10,9.08597172917198,8.26607307530632,0.819898653865661,23.2847128881868,25.5942865610478,2.30957367286102,0
4.32,206,0.0335779816513761,10,9.03068688178497,8.21284495587269,0.817841925912274,23.134774523585,25.4385545965774,2.30378007299232,0
4.32,206,0.0339449541284404,10,8.97659738244957,8.16076771469709,0.815829667752475,22.9880780695693,25.2861898097171,2.29811174014782,0
