arm,Vd_total_mL,Vd_anatomic_eff_mL,Vd_apparatus_mL,V_T_L,V_E_L_min,P_mus_mean,P_mus_peak,WOB_total_J_min,PTP_per_min
not intubated,150,150,0,0.509444444444444,9.17,7.67074258905676,11.4354789965076,7.54967035148667,153.414851781135
ETT 7.5,96,78,18,0.455444444444444,8.198,7.58404352220707,11.187194906657,6.80304438427496,151.680870444141
trach 8.0,83.5,78,5.5,0.442944444444444,7.973,6.53316243568423,9.79768383806469,5.56520102976238,130.663248713685
