t_hr,L,dist_to_fold,variance,ar1
98.0004083350347,14.791245085841,2.95875491415903,2.91435882144887,0.694157144555633
100.000416668403,14.7962927583153,2.95370724168473,2.94730509723158,0.695089435505683
102.000425001771,14.8013404307896,2.94865956921043,2.9497720482951,0.689101450341953
104.000433335139,14.8063881032639,2.94361189673613,2.94821814042396,0.690249862472387
106.000441668507,14.8114357757382,2.93856422426182,2.94602435351137,0.691360468475788
108.000450001875,14.8164834482125,2.93351655178752,2.95121217845073,0.692756909871969
110.000458335243,14.8215311206868,2.92846887931322,2.97432428277595,0.694905952218029
112.000466668611,14.8265787931611,2.92342120683892,2.98946326042237,0.696214003483009
114.000475001979,14.8316264656354,2.91837353436462,2.98839397158449,0.696151928821176
116.000483335347,14.8366741381097,2.91332586189032,2.98397460503899,0.695215707478789
118.000491668715,14.841721810584,2.90827818941601,2.98440163893797,0.695219759597301
120.000500002083,14.8467694830583,2.90323051694171,2.98024204384076,0.693282781423749
122.000508335451,14.8518171555326,2.89818284446741,2.97040687594573,0.691063730283254
124.000516668819,14.8568648280069,2.89313517199311,2.95892536423664,0.690873336032037
126.000525002188,14.8619125004812,2.88808749951881,2.96303042124628,0.693238128597699
128.000533335556,14.8669601729555,2.88303982704451,2.96750489815815,0.697029639003343
130.000541668924,14.8720078454298,2.8779921545702,2.9680033570079,0.697647717381536
132.000550002292,14.8770555179041,2.8729444820959,2.98482900618235,0.697651777637617
134.00055833566,14.8821031903784,2.8678968096216,2.98761963786497,0.700124702556677
136.000566669028,14.8871508628527,2.8628491371473,2.99105736519364,0.69851946693699
138.000575002396,14.892198535327,2.857801464673,2.99903738177051,0.698709656282718
140.000583335764,14.8972462078013,2.8527537921987,3.01814870270885,0.698358237987028
142.000591669132,14.9022938802756,2.84770611972439,3.0327791409678,0.70053116129615
144.0006000025,14.9073415527499,2.84265844725009,3.035198505083,0.698338442513983
146.000608335868,14.9123892252242,2.83761077477579,3.0469298273564,0.697366215624839
148.000616669236,14.9174368976985,2.83256310230149,3.03693888135775,0.693382701213358
150.000625002604,14.9224845701728,2.82751542982719,3.02618120558762,0.696183599234049
152.000633335972,14.9275322426471,2.82246775735289,3.03451004658037,0.693688915785423
154.00064166934,14.9325799151214,2.81742008487858,3.00846443602078,0.690833959734411
156.000650002708,14.9376275875957,2.81237241240428,2.99838104803287,0.691026373566617
158.000658336076,14.94267526007,2.80732473992998,3.01471617269609,0.695357543357411
160.000666669444,14.9477229325443,2.80227706745568,3.02200117594451,0.697970469187893
162.000675002812,14.9527706050186,2.79722939498138,3.01357130530553,0.698054397712764
164.000683336181,14.9578182774929,2.79218172250708,3.00883355610262,0.696908206564508
166.000691669549,14.9628659499672,2.78713405003278,3.01401823680502,0.699688828323395
