device,C_rs,R_aw_native,f_device,WOB_total_J_min,WOB_device_J_min,P_mus_mean,P_mus_peak,V_E
ETT_7_5,0.02,1,0.167206730443405,11.4838501590944,1.92017703800415,13.5959101888737,22.8457229388966,8.198
ETT_7_5,0.03,1,0.227737864576152,8.43152297742775,1.92017703800415,9.80053981850337,15.4254254348856,8.198
ETT_7_5,0.04,1,0.27807054354504,6.90535938659442,1.92017703800415,7.90285463331818,11.9881484190061,8.198
ETT_7_5,0.05,1,0.320581909994385,5.98966123209442,1.92017703800415,6.76424352220707,10.1037810467948,8.198
ETT_7_5,0.06,1,0.356963589151614,5.37919579576109,1.92017703800415,6.005169448133,8.93344297347372,8.198
ETT_7_5,0.02,3,0.156147077102587,12.297233311275,1.92017703800415,14.4157101888737,23.2098177722311,8.198
ETT_7_5,0.03,3,0.207701085450125,9.24490612960829,1.92017703800415,10.6203398185034,16.1573127774329,8.198
ETT_7_5,0.04,3,0.248768115837286,7.71874253877496,1.92017703800415,8.72265463331818,12.9554314728949,8.198
ETT_7_5,0.05,3,0.282252610675683,6.80304438427496,1.92017703800415,7.58404352220707,11.187194906657,8.198
ETT_7_5,0.06,3,0.31007711878141,6.19257894794163,1.92017703800415,6.824969448133,10.0799395945044,8.198
ETT_7_5,0.02,6,0.142053212990823,13.5173080395458,1.92017703800415,15.6454101888737,24.1432667800274,8.198
ETT_7_5,0.03,6,0.183485957985145,10.4649808578791,1.92017703800415,11.8500398185034,17.5459600063195,8.198
ETT_7_5,0.04,6,0.214813322684552,8.93881726704577,1.92017703800415,9.95235463331819,14.5678985266426,8.198
ETT_7_5,0.05,6,0.239330491180365,8.02311911254577,1.92017703800415,8.81374352220707,12.9116187635921,8.198
ETT_7_5,0.06,6,0.259040435703356,7.41265367621244,1.92017703800415,8.054669448133,11.8667690549065,8.198
ETT_7_5,0.02,10,0.126793952168937,15.1440743439069,1.92017703800415,17.2850101888737,25.8036605384453,8.198
ETT_7_5,0.03,10,0.158800627588413,12.0917471622402,1.92017703800415,13.4896398185034,19.6497241944133,8.198
ETT_7_5,0.04,10,0.181738852854341,10.5655835714069,1.92017703800415,11.5919546333182,16.866153064954,8.198
ETT_7_5,0.05,10,0.198984439197584,9.64988541690686,1.92017703800415,10.4533435222071,15.3064002723673,8.198
ETT_7_5,0.06,10,0.212422593720701,9.03941998057352,1.92017703800415,9.694269448133,14.3155758670897,8.198
ETT_7_5,0.02,15,0.111784219812511,17.1775322243582,1.92017703800415,19.3345101888737,28.2452177776984,8.198
ETT_7_5,0.03,15,0.135939763861882,14.1252050426915,1.92017703800415,15.5391398185034,22.4824499173896,8.198
ETT_7_5,0.04,15,0.152406597386101,12.5990414518582,1.92017703800415,13.6414546333182,19.8597729198514,8.198
ETT_7_5,0.05,15,0.164351674784591,11.6833432973582,1.92017703800415,12.5028435222071,18.3788515349093,8.198
ETT_7_5,0.06,15,0.173412645032682,11.0728778610249,1.92017703800415,11.743769448133,17.4320128869468,8.198
TRACH_8_0,0.02,1,0.0947384574998098,9.99259654827157,0.946683183401173,12.3800291023509,22.1734927747343,7.973
TRACH_8_0,0.03,1,0.133232136896471,7.10551677285491,0.946683183401173,8.68882539864719,14.8163897343243,7.973
