t_min,PaCO2_fixedVE,PvCO2_fixedVE,PaCO2_regulated,PvCO2_regulated
0,40,46.6666666666667,40,46.6666666666667
0.0600150037509377,40,46.6666666666667,40,46.6666666666667
0.120030007501875,40,46.6666666666667,40,46.6666666666667
0.180045011252813,40,46.6666666666667,40,46.6666666666667
0.240060015003751,40,46.6666666666667,40,46.6666666666667
0.300075018754689,40,46.6666666666667,40,46.6666666666667
0.360090022505626,40,46.6666666666667,40,46.6666666666667
0.420105026256564,40,46.6666666666667,40,46.6666666666667
0.480120030007502,40,46.6666666666667,40,46.6666666666667
0.54013503375844,40,46.6666666666667,40,46.6666666666667
0.600150037509377,40,46.6666666666667,40,46.6666666666667
0.660165041260315,40,46.6666666666667,40,46.6666666666667
0.720180045011253,40,46.6666666666667,40,46.6666666666667
0.780195048762191,40,46.6666666666667,40,46.6666666666667
0.840210052513128,40,46.6666666666667,40,46.6666666666667
0.900225056264066,40,46.6666666666667,40,46.6666666666667
0.960240060015004,40,46.6666666666667,40,46.6666666666667
1.02025506376594,40,46.6666666666667,40,46.6666666666667
1.08027006751688,40,46.6666666666667,40,46.6666666666667
1.14028507126782,40,46.6666666666667,40,46.6666666666667
1.20030007501875,40,46.6666666666667,40,46.6666666666667
1.26031507876969,40,46.6666666666667,40,46.6666666666667
1.32033008252063,40,46.6666666666667,40,46.6666666666667
1.38034508627157,40,46.6666666666667,40,46.6666666666667
1.44036009002251,40,46.6666666666667,40,46.6666666666667
1.50037509377344,40,46.6666666666667,40,46.6666666666667
1.56039009752438,40,46.6666666666667,40,46.6666666666667
1.62040510127532,40,46.6666666666667,40,46.6666666666667
1.68042010502626,40,46.6666666666667,40,46.6666666666667
1.74043510877719,40,46.6666666666667,40,46.6666666666667
1.80045011252813,40,46.6666666666667,40,46.6666666666667
1.86046511627907,40,46.6666666666667,40,46.6666666666667
1.92048012003001,40,46.6666666666667,40,46.6666666666667
1.98049512378095,40,46.6666666666667,40,46.6666666666667
2.04051012753188,40,46.6666666666667,40,46.6666666666667
2.10052513128282,40,46.6666666666667,40,46.6666666666667
2.16054013503376,40,46.6666666666667,40,46.6666666666667
2.2205551387847,40,46.6666666666667,40,46.6666666666667
2.28057014253563,40,46.6666666666667,40,46.6666666666667
2.34058514628657,40,46.6666666666667,40,46.6666666666667
2.40060015003751,40,46.6666666666667,40,46.6666666666667
2.46061515378845,40,46.6666666666667,40,46.6666666666667
2.52063015753938,40,46.6666666666667,40,46.6666666666667
2.58064516129032,40,46.6666666666667,40,46.6666666666667
2.64066016504126,40,46.6666666666667,40,46.6666666666667
2.7006751687922,40,46.6666666666667,40,46.6666666666667
2.76069017254314,40,46.6666666666667,40,46.6666666666667
2.82070517629407,40,46.6666666666667,40,46.6666666666667
2.88072018004501,40,46.6666666666667,40,46.6666666666667
2.94073518379595,40,46.6666666666667,40,46.6666666666667
3.00075018754689,40,46.6666666666667,40,46.6666666666667
3.06076519129782,40,46.6666666666667,40,46.6666666666667
3.12078019504876,40,46.6666666666667,40,46.6666666666667
3.1807951987997,40,46.6666666666667,40,46.6666666666667
3.24081020255064,40,46.6666666666667,40,46.6666666666667
3.30082520630158,40,46.6666666666667,40,46.6666666666667
3.36084021005251,40,46.6666666666667,40,46.6666666666667
3.42085521380345,40,46.6666666666667,40,46.6666666666667
3.48087021755439,40,46.6666666666667,40,46.6666666666667
3.54088522130533,40,46.6666666666667,40,46.6666666666667
3.60090022505626,40,46.6666666666667,40,46.6666666666667
3.6609152288072,40,46.6666666666667,40,46.6666666666667
3.72093023255814,40,46.6666666666667,40,46.6666666666667
3.78094523630908,40,46.6666666666667,40,46.6666666666667
3.84096024006001,40,46.6666666666667,40,46.6666666666667
3.90097524381095,40,46.6666666666667,40,46.6666666666667
3.96099024756189,40,46.6666666666667,40,46.6666666666667
4.02100525131283,40,46.6666666666667,40,46.6666666666667
4.08102025506377,40,46.6666666666667,40,46.6666666666667
4.1410352588147,40,46.6666666666667,40,46.6666666666667
4.20105026256564,40,46.6666666666667,40,46.6666666666667
4.26106526631658,40,46.6666666666667,40,46.6666666666667
4.32108027006752,40,46.6666666666667,40,46.6666666666667
4.38109527381845,40,46.6666666666667,40,46.6666666666667
4.44111027756939,40,46.6666666666667,40,46.6666666666667
